feature,shift_hours,kind,spearman
total_traffic,-6,positive_means_traffic_precedes_onsets,0.6647476169833935
total_traffic,-5,positive_means_traffic_precedes_onsets,0.7186366831443333
total_traffic,-4,positive_means_traffic_precedes_onsets,0.7327776424664487
total_traffic,-3,positive_means_traffic_precedes_onsets,0.7392682577197847
total_traffic,-2,positive_means_traffic_precedes_onsets,0.7514919248039782
total_traffic,-1,positive_means_traffic_precedes_onsets,0.7568062214992691
total_traffic,0,positive_means_traffic_precedes_onsets,0.7621156879663374
total_traffic,1,positive_means_traffic_precedes_onsets,0.7397596910200523
total_traffic,2,positive_means_traffic_precedes_onsets,0.7060618948051732
total_traffic,3,positive_means_traffic_precedes_onsets,0.6655143262832937
total_traffic,4,positive_means_traffic_precedes_onsets,0.626734670048771
total_traffic,5,positive_means_traffic_precedes_onsets,0.5747486095906503
total_traffic,6,positive_means_traffic_precedes_onsets,0.5246588268402163
total_traffic,12,circular_block_shift_diagnostic,0.2662829061730278
total_traffic,24,circular_block_shift_diagnostic,-0.05316955109838313
total_traffic,48,circular_block_shift_diagnostic,-0.13143917969667085
total_traffic,72,circular_block_shift_diagnostic,-0.6002114512583294
total_traffic,96,circular_block_shift_diagnostic,-0.032196641068819906
total_traffic,120,circular_block_shift_diagnostic,0.06365600611316473
hf_results,-6,positive_means_traffic_precedes_onsets,0.6230042913996517
hf_results,-5,positive_means_traffic_precedes_onsets,0.6400616408332074
hf_results,-4,positive_means_traffic_precedes_onsets,0.6292693137634114
hf_results,-3,positive_means_traffic_precedes_onsets,0.6019440777679091
hf_results,-2,positive_means_traffic_precedes_onsets,0.5980514395170426
hf_results,-1,positive_means_traffic_precedes_onsets,0.6058049682585985
hf_results,0,positive_means_traffic_precedes_onsets,0.5764289215525261
hf_results,1,positive_means_traffic_precedes_onsets,0.5411271388173456
hf_results,2,positive_means_traffic_precedes_onsets,0.4790746859712551
hf_results,3,positive_means_traffic_precedes_onsets,0.4264678571471893
hf_results,4,positive_means_traffic_precedes_onsets,0.37527346188113836
hf_results,5,positive_means_traffic_precedes_onsets,0.31823271426063454
hf_results,6,positive_means_traffic_precedes_onsets,0.2687866940762063
hf_results,12,circular_block_shift_diagnostic,0.03495234924993175
hf_results,24,circular_block_shift_diagnostic,-0.24604651979943268
hf_results,48,circular_block_shift_diagnostic,-0.43447376002337035
hf_results,72,circular_block_shift_diagnostic,-0.35736607845570206
hf_results,96,circular_block_shift_diagnostic,0.10903280639333646
hf_results,120,circular_block_shift_diagnostic,0.40601716269025107
assignments,-6,positive_means_traffic_precedes_onsets,0.6088358310840626
assignments,-5,positive_means_traffic_precedes_onsets,0.6917666909353061
assignments,-4,positive_means_traffic_precedes_onsets,0.7241730034133445
assignments,-3,positive_means_traffic_precedes_onsets,0.7498806131816556
assignments,-2,positive_means_traffic_precedes_onsets,0.7839939318483777
assignments,-1,positive_means_traffic_precedes_onsets,0.7860836640350143
assignments,0,positive_means_traffic_precedes_onsets,0.7704565062295882
assignments,1,positive_means_traffic_precedes_onsets,0.7417829559913792
assignments,2,positive_means_traffic_precedes_onsets,0.7247191789464105
assignments,3,positive_means_traffic_precedes_onsets,0.6778562680990765
assignments,4,positive_means_traffic_precedes_onsets,0.6046826586838421
assignments,5,positive_means_traffic_precedes_onsets,0.5471846304792377
assignments,6,positive_means_traffic_precedes_onsets,0.509235692807156
assignments,12,circular_block_shift_diagnostic,0.20742583729447495
assignments,24,circular_block_shift_diagnostic,-0.17520259508375643
assignments,48,circular_block_shift_diagnostic,-0.10374528156097061
assignments,72,circular_block_shift_diagnostic,-0.530920980807669
assignments,96,circular_block_shift_diagnostic,-0.014341880717530908
assignments,120,circular_block_shift_diagnostic,0.10391674822671466
